sku;trackOrder;;type_id;created_at;order_state_id;Original_URL;Redirection_URL;estado;cometario;fecha comentario;
M1897856202;https://tracking.goboxful.com?shipment;BFTS-3465-202405318188;19847;11/7/2024 09:51;3;BFTS-3465-202405318188;https://c807xpresssv.dispatchtrack.com/track/625316e51e0c4b82ffd01044;Llego a su destino;CCE;3/6/2024 08:03;
M1917243494;https://tracking.goboxful.com?shipment;BFTS-3465-2024070610169;20084;6/7/2024 17:30;4;BFTS-3465-2024070610169;https://c807xpresssv.dispatchtrack.com/track/f81d0907da34b920c6522e6c;Ingresado al sistema;;6/7/2024 17:30;N
M192022779;https://tracking.goboxful.com?shipment;BFTS-3465-202406138891;20131;5/7/2024 09:57;3;BFTS-3465-202406138891;https://c807xpresssv.dispatchtrack.com/track/9632141845e8297ec4b29b4d;Llego a su destino;CCE;19/6/2024 10:57;N
M1928560901;https://tracking.goboxful.com?shipment;BFTS-3465-202407019843;20233;1/7/2024 11:43;3;BFTS-3465-202407019843;https://c807xpresssv.dispatchtrack.com/track/1d4354559d6c9b37f19e71fb;Ingresado al sistema;;1/7/2024 11:43;N
M1931734512;https://tracking.goboxful.com?shipment;BFTS-3465-202407019827;20288;1/7/2024 07:41;4;BFTS-3465-202407019827;https://c807xpresssv.dispatchtrack.com/track/9fd47255070a05a5dfc4d6e5;Ingresado al sistema;;1/7/2024 07:41;N
M1937916375;https://tracking.goboxful.com?shipment;BFTS-3465-202407029935;20359;2/7/2024 14:10;4;BFTS-3465-202407029935;https://c807xpresssv.dispatchtrack.com/track/32437d4a131ba9dcf71b641e;Ingresado al sistema;;2/7/2024 14:10;N
M1938830891;https://tracking.goboxful.com?shipment;BFTS-3465-202407029937;20368;2/7/2024 14:16;4;BFTS-3465-202407029937;https://c807xpresssv.dispatchtrack.com/track/95164e8ab5b784a487cc537b;Ingresado al sistema;;2/7/2024 14:16;N
M1944160468;https://tracking.goboxful.com?shipment;BFTS-3465-202407029895;20436;2/7/2024 09:15;4;BFTS-3465-202407029895;https://c807xpresssv.dispatchtrack.com/track/ca6ebda7ae7ded92061a6227;Ingresado al sistema;;2/7/2024 09:15;N
M1944658822;https://tracking.goboxful.com?shipment;BFTS-3465-202407019862;20441;1/7/2024 15:18;4;BFTS-3465-202407019862;https://c807xpresssv.dispatchtrack.com/track/03f8e84d53127da0d815b63f;Ingresado al sistema;;1/7/2024 15:18;N
M1944855680;https://tracking.goboxful.com?shipment;BFTS-3465-202407019831;20444;1/7/2024 09:27;3;BFTS-3465-202407019831;https://c807xpresssv.dispatchtrack.com/track/e380e58fec32c63b6822a7ff;Ingresado al sistema;;1/7/2024 09:27;N
M1946251914;https://tracking.goboxful.com?shipment;BFTS-3465-202407019826;20460;1/7/2024 07:29;3;BFTS-3465-202407019826;https://c807xpresssv.dispatchtrack.com/track/181af34d71b2bf749c6e4319;Ingresado al sistema;;1/7/2024 07:29;N
M1946957531;https://tracking.goboxful.com?shipment;BFTS-3465-202407039953;20470;3/7/2024 07:14;3;BFTS-3465-202407039953;https://c807xpresssv.dispatchtrack.com/track/b6af37006eb042cafe48eecf;Ingresado al sistema;;3/7/2024 07:14;N
M1947751914;https://tracking.goboxful.com?shipment;BFTS-3465-202407019828;20479;1/7/2024 08:01;3;BFTS-3465-202407019828;https://c807xpresssv.dispatchtrack.com/track/dacd5c07a61733f26183305c;Ingresado al sistema;;1/7/2024 08:01;N
M1947961915;https://tracking.goboxful.com?shipment;BFTS-3465-202407019844;20485;1/7/2024 11:53;3;BFTS-3465-202407019844;https://c807xpresssv.dispatchtrack.com/track/0088d82fd01033fbba427418;Ingresado al sistema;;1/7/2024 11:53;N
M1948560288;https://tracking.goboxful.com?shipment;BFTS-3465-202407019839;20491;1/7/2024 11:05;3;BFTS-3465-202407019839;https://c807xpresssv.dispatchtrack.com/track/e8773ab34fbf4af4b581ced8;Llego a su destino;CCE;26/7/2024 10:35;N
M194893794;https://tracking.goboxful.com?shipment;BFTS-3465-202407019859;20495;1/7/2024 14:05;3;BFTS-3465-202407019859;https://c807xpresssv.dispatchtrack.com/track/f500d8b7f1e745df37f98871;Llego a su destino;SER;3/7/2024 13:14;N
M1949458764;https://tracking.goboxful.com?shipment;BFTS-3465-202407029940;20501;2/7/2024 14:42;3;BFTS-3465-202407029940;https://c807xpresssv.dispatchtrack.com/track/f5c186f05545c51c2ebcd3c4;Llego a su destino;SER;4/7/2024 11:44;N
M1949552351;https://tracking.goboxful.com?shipment;BFTS-3465-202407019874;20502;1/7/2024 16:56;3;BFTS-3465-202407019874;https://c807xpresssv.dispatchtrack.com/track/08077b1908365c9999c1eb61;Llego a su destino;CCE;5/7/2024 10:23;N
M1949753719;https://tracking.goboxful.com?shipment;BFTS-3465-202407029919;20504;2/7/2024 13:44;4;BFTS-3465-202407029919;https://c807xpresssv.dispatchtrack.com/track/ff79d93735f1cb07d2bea2b4;Ingresado al sistema;;2/7/2024 13:44;N
M1950116246;https://tracking.goboxful.com?shipment;BFTS-3465-202407019875;20508;1/7/2024 16:59;3;BFTS-3465-202407019875;https://c807xpresssv.dispatchtrack.com/track/3ac8adfe9b06bc1ec3a50f1f;Llego a su destino;SER;3/7/2024 09:47;N
M1950263595;https://tracking.goboxful.com?shipment;BFTS-3465-202407029905;20509;2/7/2024 10:33;4;BFTS-3465-202407029905;https://c807xpresssv.dispatchtrack.com/track/dc8ff4dbd49ffb802e629203;Ingresado al sistema;;2/7/2024 10:33;N
M1950313167;https://tracking.goboxful.com?shipment;BFTS-3465-202407029902;20510;2/7/2024 10:13;3;BFTS-3465-202407029902;https://c807xpresssv.dispatchtrack.com/track/882a67ad59541bab57efadfa;Llego a su destino;CCE;3/7/2024 14:41;#¡REF!
M1950358788;https://tracking.goboxful.com?shipment;BFTS-3465-202407019884;20511;1/7/2024 21:18;3;BFTS-3465-202407019884;https://c807xpresssv.dispatchtrack.com/track/e519f04843a389f51bc3297d;Llego a su destino;CCE;3/7/2024 14:39;N
M195069688;https://tracking.goboxful.com?shipment;BFTS-3465-202407029901;20514;2/7/2024 10:09;3;BFTS-3465-202407029901;https://c807xpresssv.dispatchtrack.com/track/12b0992778f38921f150a6aa;Ingresado al sistema;;2/7/2024 10:09;N
M1950753430;https://tracking.goboxful.com?shipment;BFTS-3465-202407029915;20515;2/7/2024 13:23;3;BFTS-3465-202407029915;https://c807xpresssv.dispatchtrack.com/track/92bc15c7e83702901c422adb;Llego a su destino;CCE;4/7/2024 15:13;N
M1950851160;https://tracking.goboxful.com?shipment;BFTS-3465-202407029903;20516;2/7/2024 10:15;3;BFTS-3465-202407029903;https://c807xpresssv.dispatchtrack.com/track/f373a8651ffa7b2169e002a5;Llego a su destino;SER;3/7/2024 11:09;N
M1950851958;https://tracking.goboxful.com?shipment;BFTS-3465-202407029949;20517;2/7/2024 18:07;3;BFTS-3465-202407029949;https://c807xpresssv.dispatchtrack.com/track/7046bca035110fa9631c53a8;Llego a su destino;SER;5/7/2024 10:14;N
M1950955837;https://tracking.goboxful.com?shipment;BFTS-3465-202407029911;20518;2/7/2024 11:29;3;BFTS-3465-202407029911;https://c807xpresssv.dispatchtrack.com/track/8bf1ef0c540c0bf2ee8276f2;Llego a su destino;SER;3/7/2024 10:33;N
M1950954696;https://tracking.goboxful.com?shipment;BFTS-3465-202407029946;20519;2/7/2024 15:15;3;BFTS-3465-202407029946;https://c807xpresssv.dispatchtrack.com/track/4d46656753f6873ef2cec32f;Llego a su destino;SER;8/7/2024 11:01;N
M1951255054;https://tracking.goboxful.com?shipment;BFTS-3465-202407029951;20522;2/7/2024 19:20;3;BFTS-3465-202407029951;https://c807xpresssv.dispatchtrack.com/track/bc479d0130f64ce922b5ccd3;Llego a su destino;CCE;4/7/2024 14:22;N
M1951340350;https://tracking.goboxful.com?shipment;BFTS-3465-202407029952;20523;2/7/2024 20:24;3;BFTS-3465-202407029952;https://c807xpresssv.dispatchtrack.com/track/48ce42ccfd3d0b60eff6ea6a;Llego a su destino;CCE;5/7/2024 09:28;N
M195168505;https://tracking.goboxful.com?shipment;BFTS-3465-2024070410019;20528;4/7/2024 07:31;3;BFTS-3465-2024070410019;https://c807xpresssv.dispatchtrack.com/track/46ad86e88a24d5cc4b52984c;Llego a su destino;SER;5/7/2024 14:49;N
M1951647517;https://tracking.goboxful.com?shipment;BFTS-3465-202407039954;20529;3/7/2024 08:29;3;BFTS-3465-202407039954;https://c807xpresssv.dispatchtrack.com/track/a215e853b1b6bd37b16a81ad;Llego a su destino;SER;4/7/2024 09:32;N
M1951611696;https://tracking.goboxful.com?shipment;BFTS-3465-2024070510104;20530;5/7/2024 11:29;3;BFTS-3465-2024070510104;https://c807xpresssv.dispatchtrack.com/track/cb0b8ae8e8f8b60af630ad5d;Llego a su destino;SER;8/7/2024 11:41;N
M1951763597;https://tracking.goboxful.com?shipment;BFTS-3465-202407039965;20531;3/7/2024 10:38;3;BFTS-3465-202407039965;https://c807xpresssv.dispatchtrack.com/track/5fcd94633e8f01a731ec337e;Llego a su destino;SER;4/7/2024 10:06;N
M1951856961;https://tracking.goboxful.com?shipment;BFTS-3465-202407039962;20532;3/7/2024 10:21;3;BFTS-3465-202407039962;https://c807xpresssv.dispatchtrack.com/track/89f8a3ffa25bb9711dd52aba;Llego a su destino;CCE;4/7/2024 10:43;N
M1951834512;https://tracking.goboxful.com?shipment;BFTS-3465-202407039958;20533;3/7/2024 10:10;3;BFTS-3465-202407039958;https://c807xpresssv.dispatchtrack.com/track/f409361e27ba818bb2490b51;Llego a su destino;CCE;4/7/2024 10:43;N
M1951958584;https://tracking.goboxful.com?shipment;BFTS-3465-202407039968;20534;3/7/2024 11:13;3;BFTS-3465-202407039968;https://c807xpresssv.dispatchtrack.com/track/1ceac78ba7c3f761cdfd4e9f;Llego a su destino;CCE;4/7/2024 10:51;N
M1952155267;https://tracking.goboxful.com?shipment;BFTS-3465-2024070410030;20537;4/7/2024 10:12;3;BFTS-3465-2024070410030;https://c807xpresssv.dispatchtrack.com/track/66c443d0b1f71abde6259840;Llego a su destino;CCE;6/7/2024 10:01;N
M1952152895;https://tracking.goboxful.com?shipment;BFTS-3465-2024070310003;20538;3/7/2024 16:26;3;BFTS-3465-2024070310003;https://c807xpresssv.dispatchtrack.com/track/8ad81b3dee9fc73f81c54171;Llego a su destino;CCE;5/7/2024 10:50;N
M1952260477;https://tracking.goboxful.com?shipment;BFTS-3465-202407039991;20539;3/7/2024 13:45;4;BFTS-3465-202407039991;https://c807xpresssv.dispatchtrack.com/track/5d674f14b077228d2b2af57a;Problemas en la gestion;Cliente rechaza envio;10/7/2024 09:36;#¡REF!
M195232779;https://tracking.goboxful.com?shipment;BFTS-3465-2024070310011;20540;3/7/2024 20:49;3;BFTS-3465-2024070310011;https://c807xpresssv.dispatchtrack.com/track/2e606a1016385e9cc0e9ecfc;Llego a su destino;CCE;5/7/2024 14:04;N
M195242779;https://tracking.goboxful.com?shipment;BFTS-3465-2024070310010;20541;3/7/2024 20:48;3;BFTS-3465-2024070310010;https://c807xpresssv.dispatchtrack.com/track/b63fcc0695930d1c835dc65f;Llego a su destino;SER;5/7/2024 10:26;N
M1952564061;https://tracking.goboxful.com?shipment;BFTS-3465-2024070410018;20542;4/7/2024 06:39;3;BFTS-3465-2024070410018;https://c807xpresssv.dispatchtrack.com/track/99bf9830876162ec65fb5b4b;Llego a su destino;CCE;8/7/2024 09:27;N
M1952649737;https://tracking.goboxful.com?shipment;BFTS-3465-2024070410026;20543;4/7/2024 10:08;4;BFTS-3465-2024070410026;https://c807xpresssv.dispatchtrack.com/track/b158bbb4b673c031ae759ce5;Ingresado al sistema;;4/7/2024 10:08;N
M1952721630;https://tracking.goboxful.com?shipment;BFTS-3465-2024070410083;20544;4/7/2024 21:25;4;BFTS-3465-2024070410083;https://c807xpresssv.dispatchtrack.com/track/abbf30e6da6df217a883ab2d;Problemas en la gestion;Direccion incompleta/no contesta;8/7/2024 11:15;N
M195289900;https://tracking.goboxful.com?shipment;BFTS-3465-2024070410072;20545;4/7/2024 15:50;3;BFTS-3465-2024070410072;https://c807xpresssv.dispatchtrack.com/track/d66b3c8e19948bc2212591a4;Llego a su destino;CCE;8/7/2024 09:54;N
M1952953878;https://tracking.goboxful.com?shipment;BFTS-3465-2024070410017;20546;4/7/2024 06:18;3;BFTS-3465-2024070410017;https://c807xpresssv.dispatchtrack.com/track/d98d474ac64709f61f370625;Llego a su destino;CCE;5/7/2024 11:43;N
M1952944716;https://tracking.goboxful.com?shipment;BFTS-3465-2024070310016;20547;3/7/2024 22:17;3;BFTS-3465-2024070310016;https://c807xpresssv.dispatchtrack.com/track/e12f81116dc2d9bbcf1240d4;Llego a su destino;CCE;5/7/2024 11:43;N
M1953060759;https://tracking.goboxful.com?shipment;BFTS-3465-2024070410025;20548;4/7/2024 10:07;3;BFTS-3465-2024070410025;https://c807xpresssv.dispatchtrack.com/track/2a1916d57281145eccbf1c7f;Llego a su destino;CCE;6/7/2024 09:39;N
M1953213167;https://tracking.goboxful.com?shipment;BFTS-3465-2024070410076;20550;4/7/2024 16:47;3;BFTS-3465-2024070410076;https://c807xpresssv.dispatchtrack.com/track/4a58621851a60caeae58f527;Ingresado al sistema;;4/7/2024 16:47;N
M1953460460;https://tracking.goboxful.com?shipment;BFTS-3465-2024070410054;20553;4/7/2024 13:34;3;BFTS-3465-2024070410054;https://c807xpresssv.dispatchtrack.com/track/04b6d1f7f88dc7e4a5264f72;Llego a su destino;SER;5/7/2024 11:23;N
M1953553430;https://tracking.goboxful.com?shipment;BFTS-3465-2024070410078;20555;4/7/2024 18:35;3;BFTS-3465-2024070410078;https://c807xpresssv.dispatchtrack.com/track/f6e5746410c6789a1185cf76;Llego a su destino;CCE;6/7/2024 09:32;N
M1953564455;https://tracking.goboxful.com?shipment;BFTS-3465-2024070410079;20556;4/7/2024 19:10;3;BFTS-3465-2024070410079;https://c807xpresssv.dispatchtrack.com/track/45ef7e6ca486a261ab2bd28b;Llego a su destino;CCE;6/7/2024 09:32;N
M195353794;https://tracking.goboxful.com?shipment;BFTS-3465-2024070510130;20557;5/7/2024 14:27;3;BFTS-3465-2024070510130;https://c807xpresssv.dispatchtrack.com/track/ce40e8b7b01fed3dbee7e861;Llego a su destino;CCE;12/7/2024 07:52;N
M1953618571;https://tracking.goboxful.com?shipment;BFTS-3465-2024070610160;20558;6/7/2024 11:03;3;BFTS-3465-2024070610160;https://c807xpresssv.dispatchtrack.com/track/e49a508a6092c7a670c4b304;Llego a su destino;SER;9/7/2024 09:42;N
M1953756368;https://tracking.goboxful.com?shipment;BFTS-3465-2024070410084;20559;4/7/2024 23:21;3;BFTS-3465-2024070410084;https://c807xpresssv.dispatchtrack.com/track/7d9d1b30b8678e81d4411616;Llego a su destino;CCE;6/7/2024 08:44;N
M1953856092;https://tracking.goboxful.com?shipment;BFTS-3465-2024070510091;20560;5/7/2024 08:45;3;BFTS-3465-2024070510091;https://c807xpresssv.dispatchtrack.com/track/0efea0c2c8e3df623a5887e2;Llego a su destino;CCE;8/7/2024 08:49;N
M1953960317;https://tracking.goboxful.com?shipment;BFTS-3465-2024070510093;20561;5/7/2024 08:47;3;BFTS-3465-2024070510093;https://c807xpresssv.dispatchtrack.com/track/978e3f29b559a3c0e535ed72;Llego a su destino;CCE;6/7/2024 12:41;N
M1954055837;https://tracking.goboxful.com?shipment;BFTS-3465-2024070510103;20562;5/7/2024 11:21;3;BFTS-3465-2024070510103;https://c807xpresssv.dispatchtrack.com/track/4ecde48b5b57328ea6ddeed3;Llego a su destino;CCE;6/7/2024 13:11;N
M1954154899;https://tracking.goboxful.com?shipment;BFTS-3465-2024070510129;20563;5/7/2024 14:22;3;BFTS-3465-2024070510129;https://c807xpresssv.dispatchtrack.com/track/6d05e0729a869813d7e1a6f9;Llego a su destino;CCE;10/7/2024 08:30;N
M1954241520;https://tracking.goboxful.com?shipment;BFTS-3465-2024070810191;20564;8/7/2024 11:10;3;BFTS-3465-2024070810191;https://c807xpresssv.dispatchtrack.com/track/75a3ae66ff8c640310320532;Ingresado al sistema;;8/7/2024 11:10;N
M1954554240;https://tracking.goboxful.com?shipment;BFTS-3465-2024070510141;20567;5/7/2024 18:08;4;BFTS-3465-2024070510141;https://c807xpresssv.dispatchtrack.com/track/78c9f6a070f82f2003c6ef1c;Problemas en la gestion;Direccion incompleta/no contesta;9/7/2024 08:32;N
M1954655961;https://tracking.goboxful.com?shipment;BFTS-3465-2024070510142;20568;5/7/2024 18:55;3;BFTS-3465-2024070510142;https://c807xpresssv.dispatchtrack.com/track/8a8d59fee14566746235febe;Llego a su destino;CCE;8/7/2024 11:53;N
M1954747530;https://tracking.goboxful.com?shipment;BFTS-3465-2024070610166;20569;6/7/2024 15:26;3;BFTS-3465-2024070610166;https://c807xpresssv.dispatchtrack.com/track/6072811d0cfb714e9575615c;Llego a su destino;CCE;9/7/2024 09:36;N
M1954859064;https://tracking.goboxful.com?shipment;BFTS-3465-2024070610148;20570;6/7/2024 07:44;3;BFTS-3465-2024070610148;https://c807xpresssv.dispatchtrack.com/track/ef1b9fa79443e6c672a31485;Llego a su destino;SER;10/7/2024 11:41;N
M1954947530;https://tracking.goboxful.com?shipment;BFTS-3465-2024070610167;20571;6/7/2024 15:27;3;BFTS-3465-2024070610167;https://c807xpresssv.dispatchtrack.com/track/df9f46577ebcaf0e9e863c42;Llego a su destino;CCE;9/7/2024 12:15;N
M1955057498;https://tracking.goboxful.com?shipment;BFTS-3465-2024070810234;20572;8/7/2024 14:20;3;BFTS-3465-2024070810234;https://c807xpresssv.dispatchtrack.com/track/1b00289a33b01bdff39a63c8;Llego a su destino;CCE;9/7/2024 12:15;N
M1955163071;https://tracking.goboxful.com?shipment;BFTS-3465-2024070610171;20573;6/7/2024 22:24;3;BFTS-3465-2024070610171;https://c807xpresssv.dispatchtrack.com/track/e927f5552cdd2df4ed42eeca;Llego a su destino;CCE;9/7/2024 11:30;N
M1955355923;https://tracking.goboxful.com?shipment;BFTS-3465-2024070710172;20575;7/7/2024 05:59;4;BFTS-3465-2024070710172;https://c807xpresssv.dispatchtrack.com/track/bb3b8ced4d9d71da25205346;Problemas en la gestion;Cliente rechaza envio;8/7/2024 09:27;N
M1955414403;https://tracking.goboxful.com?shipment;BFTS-3465-2024070710173;20576;7/7/2024 09:27;3;BFTS-3465-2024070710173;https://c807xpresssv.dispatchtrack.com/track/f4bba15d127b16ad0785ceb0;Llego a su destino;SER;11/7/2024 08:56;N
M1955529025;https://tracking.goboxful.com?shipment;BFTS-3465-2024070810197;20577;8/7/2024 12:07;3;BFTS-3465-2024070810197;https://c807xpresssv.dispatchtrack.com/track/d3a4687a1135f98fbb4f422d;Llego a su destino;SER;9/7/2024 12:18;N
M1955546460;https://tracking.goboxful.com?shipment;BFTS-3465-2024070910273;20578;9/7/2024 07:20;3;BFTS-3465-2024070910273;https://c807xpresssv.dispatchtrack.com/track/c2c1ab3e8b8f1bd931a9872c;Llego a su destino;SER;11/7/2024 11:03;N
M1955616823;https://tracking.goboxful.com?shipment;BFTS-3465-2024070710175;20579;7/7/2024 13:26;4;BFTS-3465-2024070710175;https://c807xpresssv.dispatchtrack.com/track/5677c338cba7fb13cf56d301;Ingresado al sistema;;7/7/2024 13:26;N
M1956053430;https://tracking.goboxful.com?shipment;BFTS-3465-2024070810264;20585;8/7/2024 18:35;3;BFTS-3465-2024070810264;https://c807xpresssv.dispatchtrack.com/track/f66442403568b6bd4435a5be;Llego a su destino;SER;10/7/2024 09:20;N
M1956160567;https://tracking.goboxful.com?shipment;BFTS-3465-2024070710176;20586;7/7/2024 15:56;3;BFTS-3465-2024070710176;https://c807xpresssv.dispatchtrack.com/track/109633712687bc85abd63a57;Llego a su destino;CCE;10/7/2024 10:21;N
M1956334632;https://tracking.goboxful.com?shipment;BFTS-3465-2024070710177;20588;7/7/2024 19:33;3;BFTS-3465-2024070710177;https://c807xpresssv.dispatchtrack.com/track/5239c230f7b7d44f24963870;Llego a su destino;CCE;10/7/2024 10:34;N
M1956461652;https://tracking.goboxful.com?shipment;BFTS-3465-2024070810184;20589;8/7/2024 08:31;3;BFTS-3465-2024070810184;https://c807xpresssv.dispatchtrack.com/track/e429000ab5a7e3d23a3a82e1;Llego a su destino;CCE;9/7/2024 08:24;N
M1956537623;https://tracking.goboxful.com?shipment;BFTS-3465-2024070710180;20590;7/7/2024 20:41;3;BFTS-3465-2024070710180;https://c807xpresssv.dispatchtrack.com/track/868395611e0b61d9c97bf9cf;Llego a su destino;SER;10/7/2024 09:44;N
M195663794;https://tracking.goboxful.com?shipment;BFTS-3465-2024070810243;20591;8/7/2024 15:26;3;BFTS-3465-2024070810243;https://c807xpresssv.dispatchtrack.com/track/fbfab866860b2ce4ef2ab421;Ingresado al sistema;;8/7/2024 15:26;N
M1956717950;https://tracking.goboxful.com?shipment;BFTS-3465-2024070810185;20592;8/7/2024 09:18;4;BFTS-3465-2024070810185;https://c807xpresssv.dispatchtrack.com/track/99a4eabaf5e0d50e962cd93f;Ingresado al sistema;;8/7/2024 09:18;N
M1957357586;https://tracking.goboxful.com?shipment;BFTS-3465-2024070810186;20603;8/7/2024 09:22;3;BFTS-3465-2024070810186;https://c807xpresssv.dispatchtrack.com/track/a976c8090561d02380123a75;Llego a su destino;CCE;10/7/2024 10:16;N
M1957457826;https://tracking.goboxful.com?shipment;BFTS-3465-2024070810187;20604;8/7/2024 09:52;3;BFTS-3465-2024070810187;https://c807xpresssv.dispatchtrack.com/track/696e46faa088361f0542f80f;Llego a su destino;CCE;9/7/2024 09:14;N
M1957534512;https://tracking.goboxful.com?shipment;BFTS-3465-2024071010380;20605;10/7/2024 11:39;4;BFTS-3465-2024071010380;https://c807xpresssv.dispatchtrack.com/track/4ea715ece96ba022953dd9a9;Problemas en la gestion;Reprogramacion de entrega por el destinatario;24/7/2024 14:21;N
