id,q1,q2,q3,q4,commets,score,state,user_id,seller_id,order_id,updated_at,created_at,sentiment_label,sentiment_score
4,5.0,5.0,5.0,5.0,Excelente servicio y satisfecho con mi producto!,5.0,1,2721,9796,17891,2024-01-25 18:09:43,2024-01-25 18:09:13,Neutral,0.0
5,5.0,5.0,5.0,5.0,Excelente servicio y satisfecho con el producto! Volvería a comprar de este vendedor…,5.0,1,2721,50267,16008,2024-01-25 18:11:24,2024-01-25 18:10:42,Neutral,0.0
23,5.0,5.0,5.0,5.0,"Excelente productos, compre 2 mochilas y todo segun la descripcio",5.0,1,1,24774,18099,2024-01-31 16:48:07,2024-01-31 16:47:18,Neutral,0.0
24,0.5,0.5,0.5,0.5,Lo pedi hace dias y no me lo han enviado,0.5,1,13579,52948,17884,2024-02-01 08:32:35,2024-02-01 08:32:09,Negative,-0.296
29,3.5,3.0,1.5,5.0,La blusa estaba sucia y manchada las axilas,2.67,1,15329,50405,16251,2024-02-04 20:47:11,2024-02-04 20:46:29,Neutral,0.0
37,0.5,2.5,3.0,0.5,No me lo entrgó,2.0,1,53367,52700,18164,2024-02-09 08:54:06,2024-02-09 08:53:36,Negative,-0.296
39,5.0,4.5,4.5,5.0,"Sueter decia talla M, pero era XS. Por lo demas todo OK",4.67,1,15329,3794,18213,2024-02-11 10:39:31,2024-02-11 10:38:37,Positive,0.4466
64,5.0,5.0,5.0,5.0,"Satisfecho con el servio y con mi prenda, gracias",5.0,1,2721,31261,18124,2024-02-15 11:46:17,2024-02-15 11:45:59,Neutral,0.0
69,5.0,5.0,5.0,5.0,Todo funcionó bastante rápido,5.0,1,89,43313,18424,2024-02-19 18:40:37,2024-02-19 18:40:20,Neutral,0.0
70,4.5,5.0,5.0,3.0,El servicio de entrega se tardó un poco pero me llegó el pedido tal cual de la foto,4.83,1,89,31261,17808,2024-02-19 18:41:28,2024-02-19 18:40:51,Neutral,0.0
75,5.0,5.0,5.0,5.0,Rapido y sin complicaciones,5.0,1,3991,10086,18594,2024-03-27 15:29:45,2024-02-26 12:01:24,Negative,-0.5574
77,1.0,0.5,0.5,1.0,No ha sido entregado mi producto,0.67,1,53796,53421,18576,2024-02-26 17:00:28,2024-02-26 17:00:05,Positive,0.0516
80,4.0,5.0,5.0,4.0,"Satisfecho con mi compra, gracias !!!",4.67,1,2721,50288,18522,2024-02-28 21:20:47,2024-02-28 21:20:23,Neutral,0.0
89,5.0,5.0,5.0,5.0,"Excelente producto muy satisfecho con la calidad, y bonito empaque 👌🏻",5.0,1,2721,53023,18620,2024-03-06 14:36:16,2024-03-06 14:35:50,Neutral,0.0
103,0.5,0.5,0.5,0.5,"El jeans venía en pésimas condiciones 
Y para el precio que tenia debía ser un producto en buen estado 
Pero venia super mal",0.5,1,52855,53016,18735,2024-03-13 18:01:23,2024-03-13 18:00:24,Positive,0.5994
106,5.0,5.0,5.0,2.5,Superr rapidoo :)! Graciass,5.0,1,2590,52930,18746,2024-03-14 14:24:12,2024-03-14 14:07:02,Neutral,0.0
107,5.0,5.0,5.0,3.0,Cristi fue super linda y amable,5.0,1,2590,43494,18720,2024-03-14 14:23:44,2024-03-14 14:23:16,Positive,0.5994
121,5.0,5.0,5.0,5.0,"Excelente servicio, gracias por el libro🙏🏻👌🏻",5.0,1,2721,52895,18791,2024-03-20 12:19:07,2024-03-20 12:18:47,Neutral,0.0
124,5.0,5.0,5.0,5.0,Satisfecho!! Gracias!!!,5.0,1,2721,54476,18813,2024-03-21 14:58:15,2024-03-21 14:58:02,Neutral,0.0
131,5.0,5.0,5.0,5.0,El producto y la logística de la entrega es excelente talvez paea futuras compras poner un chat para coordinar tallas con los productos,5.0,1,19654,47530,18823,2024-03-23 19:14:14,2024-03-23 19:13:01,Neutral,0.0
132,0.0,0.0,0.0,4.5,"Hola Bryan, podrias no aceptar mi compra? No pensaba comprarla todavía disculpame mucho",0.0,1,54593,51891,18849,2024-03-23 22:58:30,2024-03-23 22:58:09,Negative,-0.5267
142,5.0,5.0,5.0,5.0,"Todo super bien! Maritza se contacto conmigo para indicarme sobre un detalle que tenia el Magic Mouse, pero aparte de eso funciona como nuevo.",5.0,1,89,2779,18853,2024-03-26 14:11:21,2024-03-26 14:10:32,Positive,0.636
148,5.0,5.0,5.0,5.0,La mejor experiencia de compra con una vendedora en Vitrinnea,5.0,1,3991,53299,18809,2024-03-27 15:29:12,2024-03-27 15:28:48,Neutral,0.0
164,5.0,5.0,5.0,5.0,"Exelente calidad todo, exacto el producto y el muchacho de la entrega muy amable",5.0,1,54770,21630,18952,2024-04-02 08:46:40,2024-04-02 08:46:00,Neutral,0.0
166,5.0,5.0,5.0,5.0,"Fatima fue muy amable y aparte que se comunico conmigo para hacerme saber que la prenda con la que contaba era de otro color , buen servicio❣️",5.0,1,3379,1844,18844,2024-04-02 11:06:58,2024-04-02 11:06:12,Neutral,0.0
173,5.0,0.5,0.5,0.5,Aun estoy esperando mi paquete. 😪,2.0,1,54265,53896,18945,2024-04-06 20:53:04,2024-04-06 20:52:35,Neutral,0.0
187,0.5,0.5,0.5,5.0,"El producto de la publicación dice marca LUZ DA LUA, y ahora que recibí el paquete me salió que son marca BELINDA",0.5,1,54616,35384,19005,2024-04-12 14:03:09,2024-04-12 14:01:16,Neutral,0.0
190,5.0,5.0,5.0,5.0,Ameeeeee,5.0,1,38140,54801,19078,2024-04-16 16:15:15,2024-04-14 20:09:59,Neutral,0.0
210,5.0,5.0,5.0,5.0,"Excelente servicio, gracias a Kelly por el detallito 😊",5.0,1,52876,55304,19128,2024-04-24 12:46:26,2024-04-24 12:45:15,Neutral,0.0
213,5.0,0.5,0.5,5.0,"El producto de la primera imagen no me vino y no corresponden a las fotos, y vienen varias prendas de empresas no vendibles",2.0,1,1,52894,19181,2024-04-26 15:41:24,2024-04-26 15:39:56,Negative,-0.6808
226,5.0,5.0,5.0,5.0,¡Super rápida la entrega! Me aceptó la orden rápido y en menos de 24 horas ya me lo entregaron,5.0,1,89,54291,19214,2024-04-30 11:46:11,2024-04-30 11:45:11,Neutral,0.0
236,5.0,5.0,5.0,5.0,"El vestido es precioso y la entrega SUPER rápida, al siguiente dia de poner la orden",5.0,1,10009,53430,19306,2024-05-06 09:24:02,2024-05-06 09:23:21,Positive,0.6841
247,5.0,5.0,5.0,5.0,Super rápido todo!,5.0,1,89,57307,19358,2024-05-09 21:45:49,2024-05-09 21:45:26,Positive,0.636
272,5.0,5.0,5.0,5.0,Excelente calidad del producto!!! Gracias 🙏🏻,5.0,1,2721,55923,19315,2024-05-14 17:36:52,2024-05-14 17:36:34,Neutral,0.0
285,1.0,1.0,0.5,1.0,"Saquen a este vendedor, no es responsable con las órdenes.",0.83,1,83,53421,19432,2024-05-16 15:12:34,2024-05-16 15:12:05,Negative,-0.296
286,5.0,5.0,5.0,5.0,Despacho súper rápido!,5.0,1,89,57586,19424,2024-05-16 15:12:31,2024-05-16 15:12:20,Neutral,0.0
287,5.0,5.0,5.0,5.0,¡Todo súper bien!,5.0,1,89,56202,19418,2024-05-16 15:12:57,2024-05-16 15:12:43,Neutral,0.0
288,5.0,5.0,5.0,5.0,"Buenísimo vendedor, me encantaron los productos!",5.0,1,83,56202,19431,2024-05-16 15:14:51,2024-05-16 15:14:40,Neutral,0.0
296,5.0,5.0,5.0,5.0,"Todo perfecto, gracias",5.0,1,53560,55304,19442,2024-05-17 13:40:13,2024-05-17 13:39:52,Positive,0.3182
300,5.0,5.0,5.0,5.0,"Excelente servicio, despacho rápido",5.0,1,41,57728,19449,2024-05-19 06:05:36,2024-05-19 06:04:06,Neutral,0.0
311,0.5,0.5,0.5,0.5,Aun no he recibido mi producto....,0.5,1,43134,57498,19445,2024-05-21 13:57:28,2024-05-21 13:57:06,Negative,-0.296
317,4.0,5.0,5.0,5.0,Muy buen servicio ,4.67,1,57116,10009,19509,2024-05-22 11:23:18,2024-05-22 11:23:18,Neutral,0.0
318,4.0,5.0,5.0,5.0,Lo malo que no se explican  que si pedimos producto de diferente vendedor se paga envío por cada producto y aparte el monto y en el correo mandan un solo total,4.67,1,58170,55898,19525,2024-05-22 19:09:20,2024-05-22 19:09:20,Negative,-0.296
319,4.0,5.0,4.0,5.0,Tiene que especificar el monto por cada artículo que se pide cundo sea de diferentes vendedor.. No un solo total,4.33,1,58170,16246,19524,2024-05-22 20:05:37,2024-05-22 20:05:37,Negative,-0.296
324,5.0,5.0,5.0,5.0,Los zapatos están muy lindos!! Gracias!,5.0,1,3794,1772,19523,2024-05-23 12:36:11,2024-05-23 12:35:41,Neutral,0.0
327,4.0,5.0,5.0,4.0,El producto se entregó en perfecto estado y coincide con lo descrito,4.67,1,58344,15024,19555,2024-05-23 15:11:22,2024-05-23 15:11:22,Positive,0.3182
331,5.0,0.5,5.0,1.0,Totalmente fracaso la vendedora dejará de vender por falta de coordinación de ustedes me pongo en lugar de ella y que feo seria para mi que se me  caiga una venta por ustedes,3.5,1,21859,53070,19558,2024-05-24 13:26:34,2024-05-24 13:25:33,Neutral,0.0
334,5.0,5.0,5.0,5.0,"Gran servicio desde la facilidad que presenta la plataforma hasta el sistema de entrega, sigan así por favor.",5.0,1,57990,54986,19545,2024-05-24 14:12:08,2024-05-24 14:12:08,Positive,0.4019
347,5.0,5.0,5.0,5.0,Excelente servicio,5.0,1,58727,56291,19615,2024-05-28 10:49:24,2024-05-28 10:48:58,Neutral,0.0
351,5.0,5.0,5.0,5.0,excelente!,5.0,1,58727,56291,19615,2024-05-28 11:10:00,2024-05-28 11:10:00,Neutral,0.0
358,5.0,5.0,5.0,5.0,!!,5.0,1,58605,44716,19605,2024-05-28 18:10:38,2024-05-28 18:10:38,Neutral,0.0
361,5.0,5.0,5.0,5.0,"ME ENCANTO  💖  
PRODUCTO EXCELENTE",5.0,1,57662,21416,19681,2024-05-29 12:59:48,2024-05-29 12:59:12,Neutral,0.0
362,5.0,5.0,5.0,5.0,Todo ok,5.0,1,41634,3794,19626,2024-05-29 13:11:19,2024-05-29 13:11:19,Positive,0.296
371,5.0,5.0,5.0,4.0,El pedido vino en el tiempo estipulado,5.0,1,58907,8528,19669,2024-05-30 13:10:53,2024-05-30 13:10:53,Neutral,0.0
372,5.0,5.0,5.0,3.0,"Es mi 1ra experiencia con ustedes y no estaba familiarizado con el proceso de entrega,tal.vez por eao senti que sebtardaron en contactarme.Pwro satisfecho con el.producto recibido !!!",5.0,1,58318,57845,19554,2024-05-30 13:38:42,2024-05-30 13:38:42,Negative,-0.4724
373,5.0,3.5,4.0,4.0,"Traia un detalle como pegamento en una manga, pero por lo demás satisfecho!",4.17,1,2721,58468,19642,2024-05-30 13:44:29,2024-05-30 13:43:54,Neutral,0.0
376,5.0,5.0,5.0,5.0,"me encanta el sistema, los productos y atención pero la app y la web se podrían mejorar porque se traban mucho, si uno ve una prenda y regresa se va hasta la primera prenda, a veces se pega también. Todo lo demás excelente",5.0,1,58982,17106,19706,2024-05-30 19:09:41,2024-05-30 19:09:41,Neutral,0.0
377,0.5,0.5,0.5,0.5,no envió,0.5,1,59008,58088,19773,2024-05-31 12:22:45,2024-05-30 19:52:00,Negative,-0.296
380,4.5,3.5,5.0,4.5,"Todo bien con la entrega. Pero quisiera devolver el producto, ya que no me quedaron los zapatos y no se me ha hecho el cobro aún.",4.33,1,59031,8528,19770,2024-05-31 09:25:48,2024-05-31 09:25:06,Negative,-0.25
381,5.0,5.0,5.0,5.0,"Me encantó, buen servicio ",5.0,1,58902,58614,19668,2024-05-31 09:53:11,2024-05-31 09:53:11,Neutral,0.0
384,5.0,5.0,5.0,5.0,Muy buena logística de entrega ,5.0,1,60302,9973,19851,2024-05-31 12:46:07,2024-05-31 12:46:07,Neutral,0.0
390,3.0,5.0,5.0,3.0,"Muy tardadas las entregas, lo peor que no responde cuando uno les envía mensaje para saber cuando llegara el paquete ",4.33,1,51890,10009,19597,2024-06-03 09:54:56,2024-06-03 09:54:56,Negative,-0.296
392,2.0,2.0,2.0,2.0,Quiero cancelar el pedido de este producto por favor.,2.0,1,55299,26137,19898,2024-06-03 13:23:20,2024-06-03 13:23:02,Positive,0.4019
395,5.0,5.0,4.5,4.5,"Todo super naiss, buenisimo!",4.83,1,59066,56202,19858,2024-06-03 16:46:53,2024-06-03 16:46:24,Positive,0.636
398,2.0,4.0,4.0,2.0,Este último pedido me llegó en seis días. Pero hice dos pedidos y no me los entregaron,3.33,1,48750,21707,19797,2024-06-04 06:53:20,2024-06-04 06:53:20,Negative,-0.296
399,5.0,4.0,4.0,5.0,N/a,4.33,1,12555,0,19616,2024-06-04 09:11:39,2024-06-04 09:11:39,Neutral,0.0
402,5.0,4.0,4.0,5.0,Rápida entrega,4.33,1,47493,0,19655,2024-06-04 10:10:25,2024-06-04 10:10:25,Neutral,0.0
406,5.0,5.0,5.0,4.0,,5.0,1,59131,0,19844,2024-06-04 11:19:36,2024-06-04 11:19:36,Neutral,0.0
407,5.0,5.0,5.0,5.0,todo quedo excelente ,5.0,1,58727,0,19613,2024-06-04 11:28:24,2024-06-04 11:28:24,Neutral,0.0
408,5.0,5.0,4.0,5.0,Todo ok,4.67,1,41634,0,19624,2024-06-04 12:07:13,2024-06-04 12:07:13,Positive,0.296
409,5.0,5.0,5.0,5.0,"Todo perfecto, gracias ",5.0,1,30195,39213,19914,2024-06-04 15:36:53,2024-06-04 15:36:53,Positive,0.3182
411,5.0,5.0,5.0,5.0,Eficientes,5.0,1,53035,2672,19875,2024-06-04 20:09:30,2024-06-04 20:09:30,Neutral,0.0
412,5.0,5.0,5.0,5.0,Eficiencia ,5.0,1,53035,41009,19874,2024-06-04 20:09:58,2024-06-04 20:09:58,Neutral,0.0
414,3.0,0.5,0.5,4.0,Maquillaje vacío la mitad del bote puro aire y parecía vencido estaba duro el producto,1.33,1,6991,54656,19887,2024-06-05 10:13:18,2024-06-05 10:12:38,Neutral,0.0
420,5.0,4.0,4.0,4.0,todo excelente ,4.33,1,58788,53437,19838,2024-06-05 15:17:03,2024-06-05 15:17:03,Neutral,0.0
421,1.0,0.0,0.0,0.5,"No he recibido noticias de mi producto , si aun existe o ya se vendió",0.33,1,10038,50649,19948,2024-06-05 16:02:52,2024-06-05 16:02:22,Negative,-0.296
422,4.0,5.0,4.0,4.0,Todo buen ,4.33,1,60720,16246,19938,2024-06-05 19:49:27,2024-06-05 19:49:27,Neutral,0.0
423,2.5,5.0,1.5,4.5,El vendedor no especificó que tenía detalles el artículo como mancha de lejía cintas sucias,3.0,1,58941,58822,19861,2024-06-05 21:09:22,2024-06-05 21:08:49,Negative,-0.296
437,5.0,5.0,5.0,5.0,"Gracias son un servicio, incomparable, siempre es un placer comprar, este es mi tercer pedido y a salido igual a los otros exelente ❤️",5.0,1,49173,0,19249,2024-06-07 13:12:38,2024-06-07 13:12:38,Neutral,0.0
438,5.0,5.0,5.0,5.0,Súper lindo el vestido! 🫶🏼✨,5.0,1,53299,47517,19975,2024-06-07 15:06:32,2024-06-07 15:06:09,Neutral,0.0
440,0.0,0.0,0.0,0.5,Nunca proceso el pedido,0.0,1,60812,54092,19963,2024-06-07 21:00:05,2024-06-07 20:59:20,Neutral,0.0
443,5.0,5.0,5.0,5.0,"Facilidad de compra, plataforma amigable y de fácil manejo, servicio de entrega profesional ",5.0,1,57990,47530,20012,2024-06-08 08:16:51,2024-06-08 08:16:51,Neutral,0.0
444,4.0,5.0,5.0,5.0,Excelente servicio ,4.67,1,60786,10180,19957,2024-06-08 09:28:14,2024-06-08 09:28:14,Neutral,0.0
447,5.0,4.0,5.0,5.0,Buen servicio!,4.67,1,60874,56393,20000,2024-06-08 11:40:01,2024-06-08 11:40:01,Neutral,0.0
456,5.0,4.0,4.0,5.0,Excelente servicio. Me gustaría fotos mas claras de los productos ,4.33,1,52602,0,20022,2024-06-10 18:39:23,2024-06-10 18:39:23,Neutral,0.0
459,5.0,5.0,5.0,5.0,Gracias ,5.0,1,61099,55514,20045,2024-06-11 12:25:33,2024-06-11 12:25:33,Neutral,0.0
461,5.0,3.0,3.0,5.0,"Todo bien con la entrega, la blusa está linda, pero el producto trae manchas en la parte de atrás",3.67,1,8528,44716,20064,2024-06-11 15:58:09,2024-06-11 15:58:09,Neutral,0.0
468,5.0,5.0,5.0,5.0,Super rapida entrega,5.0,1,61337,54950,20092,2024-06-12 09:18:00,2024-06-12 09:18:00,Positive,0.5994
470,5.0,5.0,5.0,5.0,Suenan bien ,5.0,1,23833,60288,20072,2024-06-12 12:12:41,2024-06-12 12:12:41,Neutral,0.0
471,5.0,5.0,5.0,5.0,Muy lindas las botas,5.0,1,61108,57919,20062,2024-06-12 13:56:44,2024-06-12 13:56:44,Neutral,0.0
472,4.0,4.0,4.0,4.0,Excelente servicio ,4.0,1,58788,57470,20091,2024-06-12 15:23:38,2024-06-12 15:23:38,Neutral,0.0
475,4.5,2.5,3.0,5.0,"La talla en realidad es 11.5, no 10.5 como dice la publicación",3.33,1,7049,40350,20080,2024-06-13 11:15:50,2024-06-13 11:15:16,Negative,-0.296
476,4.0,4.0,3.0,4.0,"Talla incorrecta, la talla publicada es 10.5, los zapatos en realidad son talla 11.5",3.67,1,7049,40350,20080,2024-06-13 11:18:38,2024-06-13 11:18:38,Neutral,0.0
478,5.0,5.0,4.0,5.0,Excelente ,4.67,1,59000,9788,20104,2024-06-13 15:05:48,2024-06-13 15:05:48,Neutral,0.0
480,5.0,5.0,5.0,5.0,Excelente logística. Gracias al vendedor por el detalle. ,5.0,1,52895,60731,20139,2024-06-14 09:26:54,2024-06-14 09:26:54,Neutral,0.0
485,5.0,4.0,4.0,4.0,En general todo bueno ,4.33,1,61549,53194,20132,2024-06-14 11:16:46,2024-06-14 11:16:46,Neutral,0.0
486,5.0,3.5,4.5,5.0,El único detalle es la talla de zapatos que decía 12 y son 13. Por lo demás todo bien 🙂 👍,4.33,1,52895,52251,20140,2024-06-14 11:54:00,2024-06-14 11:52:14,Neutral,0.0
489,5.0,5.0,5.0,5.0,Buena experiencia en primer compra,5.0,1,61159,50506,20096,2024-06-14 19:53:27,2024-06-14 19:53:27,Neutral,0.0
490,4.0,0.5,0.5,4.0,"La publicación decía que la camisa era talla M y que estaba nueva con etiqueta. Realmente la camisa era talla L y la camisa ya había sido usada, ya que olía a detergente de ropa.",1.67,1,10180,9900,20126,2024-06-15 00:29:35,2024-06-15 00:27:01,Neutral,0.0
491,5.0,5.0,5.0,5.0,Excelente ,5.0,1,61889,0,20162,2024-06-15 10:14:26,2024-06-15 10:14:26,Neutral,0.0
492,4.0,5.0,5.0,5.0,Todo bien solo el tiempo de envío fue algo largo ,4.67,1,61788,53058,20153,2024-06-15 10:14:45,2024-06-15 10:14:45,Neutral,0.0
494,5.0,5.0,5.0,5.0,Excelente servicio,5.0,1,61363,52280,20102,2024-06-15 14:11:46,2024-06-15 14:11:46,Neutral,0.0
496,5.0,5.0,4.0,5.0,Excelente servicio,4.67,1,58788,57470,20227,2024-06-15 21:51:26,2024-06-15 21:50:54,Neutral,0.0
509,0.5,0.0,0.5,0.0,No ha aceptado mi pedido,0.33,1,14033,54107,20229,2024-06-18 18:30:54,2024-06-18 09:31:11,Positive,0.0516
518,0.5,0.5,0.5,0.5,No he recibido el pedido :/,0.5,1,10847,10792,20232,2024-06-19 09:48:00,2024-06-19 09:47:40,Negative,-0.5574
